Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-03-27,BEAR,OIM,BEAR,DOJI,SWR,BULL,1.369,,,260.05,264.95,256.0,264.2
2015-03-30,BULL,OAR,BULL,DOJI,SWR,TR,0.243,,,265.3,269.15,263.25,269.0
2015-03-31,BULL,OOH,TR,NORMAL,WAR,BEAR,-0.742,,,268.75,271.35,266.0,266.05
2015-04-01,BEAR,OOL,TR,NORMAL,WBR,BULL,2.763,,,266.05,274.5,263.6,274.1
2015-04-06,BULL,OAR,BEAR,NORMAL,SWR,TR,0.146,,,274.7,275.5,271.25,274.1
2015-04-07,TR,OOH,TR,NORMAL,SWR,BEAR,-0.785,,,275.4,276.3,270.35,271.8
2015-04-08,BEAR,OIM,TR,NORMAL,SWR,TR,0.347,,,272.15,277.2,272.05,273.25
2015-04-09,TR,OIM,BEAR,NORMAL,SWR,BULL,2.318,,,274.8,281.8,272.55,280.8
2015-04-10,BULL,OOH,BULL,DOJI,WAR,BULL,0.758,,,281.0,287.3,280.45,285.5
2015-04-13,BULL,OOH,TR,DOJI,WAR,TR,-0.382,,,287.25,288.5,283.6,285.5
2015-04-15,TR,OIM,BULL,NORMAL,WAR,TR,0.468,,,287.0,294.45,286.05,290.15
2015-04-16,TR,OIM,TR,DOJI,SWR,BULL,0.879,,,290.0,294.15,286.55,291.7
2015-04-17,TR,OIM,BULL,DOJI,SWR,BULL,0.776,,,290.95,294.9,289.2,292.55
2015-04-20,TR,OIM,BULL,NORMAL,SWR,BEAR,-1.626,,,291.2,293.3,284.85,288.0
2015-04-21,TR,OOL,BEAR,NORMAL,SWR,BULL,0.876,,,287.0,291.75,281.8,291.5
2015-04-22,BULL,OOH,BEAR,NORMAL,WAR,BEAR,-2.187,,,290.6,293.2,275.55,283.85
2015-04-23,TR,OIM,TR,DOJI,SWR,BEAR,-1.641,,,285.0,287.25,276.3,277.6
2015-04-24,BEAR,OOL,TR,DOJI,SWR,BEAR,-1.275,,,278.05,279.6,274.4,276.3
2015-04-27,TR,OIM,BEAR,HUGE OPEN,WBR,BEAR,-1.784,,,276.55,276.55,266.1,267.1
2015-04-28,BEAR,OOL,TR,DOJI,WBR,BULL,2.783,,,266.9,273.45,265.4,272.45
