Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-03-04,BULL,Bear Leg,OOH,HUGE OPEN,WAR,BEAR,,,581.0,592.1,571.05,574.6
2015-03-05,BEAR,TR,OOL,NORMAL,SWR,TR,,,576.9,576.9,567.9,570.6
2015-03-09,BEAR,TR,OIM,HUGE OPEN,WBR,BEAR,,,570.75,573.45,562.25,563.5
2015-03-10,TR,Bear Leg,OIM,DOJI,SWR,BEAR,,,567.65,572.7,559.1,561.0
2015-03-11,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,,562.0,565.2,548.2,551.1
2015-03-12,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,,554.95,566.95,554.95,564.95
2015-03-13,TR,Bear Leg,OOH,NORMAL,SWR,BULL,,,564.25,564.75,555.3,559.0
2015-03-16,TR,Bear Leg,OOH,NORMAL,WAR,TR,,,564.1,565.65,554.45,558.1
2015-03-17,TR,Bull Leg,OOH,NORMAL,WAR,BEAR,,,564.0,578.25,562.65,569.65
2015-03-18,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,570.0,570.5,556.55,560.65
2015-03-19,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,,564.45,568.8,551.25,552.45
2015-03-20,BEAR,TR,OBR,NORMAL,SBR,BEAR,,,547.25,550.4,541.4,549.0
2015-03-23,TR,TR,OOH,NORMAL,WAR,TR,,,548.75,557.5,548.5,552.0
2015-03-24,BEAR,Bear Leg,OIM,NORMAL,WBR,TR,,,551.5,552.1,528.4,531.8
2015-03-25,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,,535.5,545.6,533.5,541.0
2015-03-26,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,,530.0,538.75,521.25,526.9
2015-03-27,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,,526.4,536.8,518.55,535.0
2015-03-30,BEAR,Bull Leg,OAR,NORMAL,SWR,BULL,,,536.85,541.0,531.4,540.2
2015-03-31,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,,540.15,559.8,537.6,550.6
2015-04-01,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,548.2,566.2,548.2,566.0
2015-04-06,TR,TR,OIM,NORMAL,WAR,BULL,,,560.3,573.5,560.15,566.5
2015-04-07,BEAR,Bear Leg,OOH,DOJI,SWR,TR,,,569.5,570.7,554.05,561.0
2015-04-08,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,,564.9,569.45,559.2,563.0
2015-04-09,TR,TR,OOL,NORMAL,SWR,TR,,,562.15,564.85,552.25,560.0
2015-04-10,TR,Bull Leg,OIM,NORMAL,SWR,TR,,,558.5,569.4,555.55,562.0
2015-04-13,BEAR,TR,OIM,NORMAL,SWR,TR,,,563.0,563.35,552.5,556.1
2015-04-15,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,551.2,551.2,538.35,539.95
2015-04-16,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,,543.45,551.25,534.4,538.4
2015-04-17,TR,Bear Leg,OIM,DOJI,SWR,TR,,,541.1,544.8,534.15,534.15
2015-04-20,BEAR,TR,OIM,NORMAL,SWR,BEAR,,,540.7,540.7,521.3,536.1
2015-04-21,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,,531.0,538.0,523.5,527.9
2015-04-22,TR,Bear Leg,OIM,NORMAL,SWR,TR,,,529.1,529.4,510.7,525.25
2015-04-23,BULL,Bear Leg,OOH,NORMAL,SWR,TR,,,527.0,527.75,508.45,511.75
2015-04-24,BEAR,Bull Leg,OIM,DOJI,SWR,BEAR,,,515.25,520.0,508.65,517.3
2015-04-27,TR,TR,OAR,DOJI,SWR,TR,,,521.2,522.95,513.8,517.5
2015-04-28,TR,Bull Leg,OIM,DOJI,SWR,TR,,,520.15,533.75,518.35,526.0
2015-04-29,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,,526.7,527.65,516.8,521.55
2015-04-30,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,,520.0,520.4,506.75,509.8
2015-05-04,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,,513.0,515.95,497.6,508.2
2015-05-05,TR,TR,OIM,NORMAL,SWR,TR,,,509.65,515.55,506.15,511.0
2015-05-06,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,,508.1,508.45,495.8,499.9
2015-05-07,TR,Bear Leg,OBR,NORMAL,SWR,BEAR,,,493.5,502.9,482.7,491.05
2015-05-08,BULL,Bull Leg,OOH,DOJI,WAR,TR,,,498.95,515.9,497.45,513.0
2015-05-11,BEAR,Bull Leg,OAR,NORMAL,SAR,BULL,,,522.2,530.95,517.0,528.55
2015-05-12,BEAR,Bear Leg,OIM,NORMAL,WBR,BULL,,,525.5,525.5,511.2,514.1
2015-05-13,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,,518.0,525.5,506.55,519.2
2015-05-14,BEAR,TR,OIM,NORMAL,SWR,TR,,,517.0,518.8,510.35,516.45
2015-05-15,TR,TR,OAR,NORMAL,SWR,TR,,,519.75,524.4,517.05,520.4
2015-05-18,BULL,TR,OOL,HUGE OPEN,SWR,TR,,,519.0,524.35,510.4,520.0
2015-05-19,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,516.9,518.75,508.75,509.5
2015-05-20,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,,510.5,513.45,503.8,506.0
2015-05-21,BULL,TR,OOL,NORMAL,SWR,BEAR,,,506.5,512.5,505.2,511.0
2015-05-22,BULL,TR,OOH,NORMAL,WAR,BULL,,,512.0,516.95,510.2,514.5
2015-05-25,BEAR,TR,OIM,HUGE OPEN,WBR,TR,,,514.0,514.0,503.3,505.0
2015-05-26,BEAR,TR,OOL,NORMAL,WBR,BEAR,,,505.65,506.0,493.6,499.0
2015-05-27,TR,TR,OBR,NORMAL,SBR,TR,,,472.0,474.65,463.9,472.75
2015-05-28,TR,Bull Leg,OOH,NORMAL,WAR,TR,,,473.5,487.4,473.5,482.55
2015-05-29,BEAR,TR,OOH,NORMAL,SWR,BULL,,,485.15,490.2,479.45,483.7
2015-06-01,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,,481.5,481.8,471.0,473.0
2015-06-02,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,,473.7,478.4,465.0,465.6
2015-06-03,BEAR,TR,OOL,HUGE OPEN,WBR,BEAR,,,468.0,468.2,435.5,458.5
2015-06-04,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,456.85,456.9,445.45,451.4
2015-06-05,TR,Bear Leg,OOL,NORMAL,WBR,TR,,,446.5,449.0,439.5,441.55
2015-06-08,BEAR,Bull Leg,OBR,NORMAL,SBR,BEAR,,,435.9,436.9,429.05,435.1
2015-06-09,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,,432.65,443.8,432.3,440.4
2015-06-10,BULL,Bull Leg,OIM,NORMAL,SWR,BULL,,,439.65,449.35,436.05,445.9
2015-06-11,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,,446.5,446.5,428.5,430.5
2015-06-12,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,428.0,428.95,417.25,422.95
2015-06-15,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,,426.95,427.9,418.3,425.5
2015-06-16,TR,Bull Leg,OOH,HUGE OPEN,WAR,TR,,,427.25,435.6,421.45,433.0
2015-06-17,BEAR,Bull Leg,OAR,NORMAL,SWR,TR,,,435.7,437.2,426.5,433.55
2015-06-18,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,,434.15,447.3,431.5,443.5
2015-06-19,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,,443.95,444.25,431.7,433.7
2015-06-22,BULL,Bull Leg,OIM,DOJI,SWR,BEAR,,,436.0,444.0,435.25,439.25
2015-06-23,TR,Bear Leg,OOH,NORMAL,WAR,TR,,,441.65,447.35,435.0,436.65
2015-06-24,BEAR,Bear Leg,OOL,NORMAL,SWR,TR,,,437.8,438.6,428.15,430.0
2015-06-25,TR,TR,OIM,NORMAL,SWR,BEAR,,,433.45,436.1,429.75,433.55
2015-06-26,TR,Bull Leg,OOH,NORMAL,SWR,TR,,,435.5,438.7,431.8,437.0
2015-06-29,BEAR,Bull Leg,OBR,HUGE OPEN,SBR,TR,,,428.0,432.35,418.6,430.0
2015-06-30,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,428.0,436.25,422.8,433.7
2015-07-01,BULL,Bull Leg,OOH,DOJI,WAR,TR,,,435.6,447.4,431.45,446.0
2015-07-02,TR,Bear Leg,OOH,NORMAL,SWR,BULL,,,443.7,444.75,435.0,435.35
2015-07-03,TR,TR,OOL,NORMAL,WBR,BEAR,,,435.55,435.8,430.5,433.55
2015-07-06,TR,Bull Leg,OBR,HUGE OPEN,SBR,TR,,,427.05,433.5,420.7,429.8
2015-07-07,BEAR,TR,OOH,NORMAL,WAR,TR,,,433.45,435.7,428.0,431.35
2015-07-08,BEAR,Bear Leg,OBR,HUGE OPEN,SBR,TR,,,422.3,422.3,400.0,404.3
2015-07-09,BEAR,TR,OBR,NORMAL,SWR,BEAR,,,399.9,403.3,394.25,398.15
2015-07-10,TR,TR,OOH,DOJI,SWR,TR,,,400.8,405.8,398.05,401.15
2015-07-13,BEAR,TR,OOH,NORMAL,SWR,TR,,,405.5,405.95,397.1,402.35
2015-07-14,BEAR,Bear Leg,OOH,HUGE OPEN,WBR,TR,,,403.45,403.45,380.95,385.25
