Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2015-05-22,TR,GapUp>PrevHigh,TR,Bear,WideRange,BULL,1.139
2015-05-25,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.089
2015-05-26,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.159
2015-05-27,TR,GapDown<PrevLow,TR,Bull,Normal,BULL,0.7
2015-05-28,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.565
2015-05-29,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.162
2015-06-01,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-10.223
2015-06-02,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.93
2015-06-03,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-41.549
2015-06-04,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,3.908
2015-06-05,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.266
2015-06-08,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-11.622
2015-06-09,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.792
2015-06-10,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.375
2015-06-11,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.356
2015-06-12,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.743
2015-06-15,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,8.414
2015-06-16,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.324
2015-06-17,TR,WithinPrevRange,BEAR,Bull,WideRange,BULL,1.745
2015-06-18,TR,WithinPrevRange,BEAR,Bull,WideRange,TR,0.504
2015-06-19,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.951
2015-06-22,BEAR,WithinPrevRange,TR,Bull,WideRange,TR,0.46
2015-06-23,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.467
2015-06-24,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.16
2015-06-25,BEAR,GapDown<PrevLow,TR,Bear,WideRange,TR,0.106
2015-06-26,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.579
2015-06-29,TR,GapDown<PrevLow,BEAR,Bear,WideRange,TR,-0.327
2015-06-30,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.089
2015-07-01,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.758
2015-07-02,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.139
2015-07-03,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.155
2015-07-06,TR,GapDown<PrevLow,BULL,Bull,Normal,TR,-0.439
2015-07-07,TR,WithinPrevRange,BULL,Bull,WideRange,TR,0.055
2015-07-08,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.648
2015-07-09,BEAR,WithinPrevRange,TR,Bear,WideRange,TR,-0.559
2015-07-10,TR,WithinPrevRange,BEAR,Bull,WideRange,BULL,0.956
2015-07-13,TR,WithinPrevRange,TR,Bull,WideRange,BULL,0.78
2015-07-14,BULL,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.593
2015-07-15,BEAR,WithinPrevRange,TR,Bull,Normal,BEAR,-0.725
2015-07-16,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.894
2015-07-17,TR,WithinPrevRange,BEAR,Bear,Normal,TR,-0.449
2015-07-20,BEAR,WithinPrevRange,BEAR,Doji,Normal,TR,0.0
2015-07-21,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.759
2015-07-22,BEAR,WithinPrevRange,TR,Bear,Normal,BULL,0.893
2015-07-23,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.532
2015-07-24,TR,WithinPrevRange,TR,Bear,WideRange,BULL,0.883
2015-07-27,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.226
2015-07-28,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.865
2015-07-29,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.123
2015-07-30,BULL,WithinPrevRange,TR,Bear,WideRange,BULL,8.712
2015-07-31,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.078
2015-08-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.796
2015-08-04,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,10.187
2015-08-05,BULL,GapUp>PrevHigh,BULL,Bull,WideRange,BEAR,-0.848
2015-08-06,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.898
2015-08-07,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.965
2015-08-10,BEAR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.302
2015-08-11,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.108
2015-08-12,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-4.317
2015-08-13,BEAR,WithinPrevRange,TR,Bull,WideRange,BEAR,-4.986
2015-08-14,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,2.536
