Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2016-06-01,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,0.938
2016-06-02,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.198
2016-06-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-5.501
2016-06-06,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.482
2016-06-07,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.137
2016-06-08,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.766
2016-06-09,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.128
2016-06-10,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.983
2016-06-13,TR,GapDown<PrevLow,TR,Bull,WideRange,BEAR,-1.224
2016-06-14,TR,WithinPrevRange,TR,Bull,WideRange,BULL,7.016
2016-06-15,BULL,WithinPrevRange,BEAR,Bear,WideRange,BULL,1.916
2016-06-16,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.943
2016-06-17,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.066
2016-06-20,TR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,1.077
2016-06-21,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.125
2016-06-22,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.591
2016-06-23,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,1.481
2016-06-24,TR,GapDown<PrevLow,BEAR,Bear,WideRange,TR,-0.335
2016-06-27,TR,WithinPrevRange,BULL,Bull,WideRange,TR,0.133
2016-06-28,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,4.817
2016-06-29,BULL,WithinPrevRange,TR,Bear,WideRange,BULL,1.896
2016-06-30,TR,WithinPrevRange,TR,Bear,WideRange,BULL,3.892
2016-07-01,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.74
2016-07-04,BEAR,WithinPrevRange,TR,Bull,WideRange,TR,0.059
2016-07-05,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.573
2016-07-07,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.708
2016-07-08,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-0.606
2016-07-11,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.239
2016-07-12,BULL,GapUp>PrevHigh,BEAR,Bull,Normal,BEAR,-0.651
2016-07-13,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.725
2016-07-14,BEAR,WithinPrevRange,TR,Bull,Normal,BEAR,-0.726
2016-07-15,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.889
2016-07-18,TR,WithinPrevRange,BULL,Doji,WideRange,BEAR,-0.671
2016-07-19,TR,WithinPrevRange,BULL,Bear,WideRange,TR,-0.435
2016-07-20,TR,WithinPrevRange,TR,Bull,WideRange,BULL,2.48
2016-07-21,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.929
2016-07-22,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,0.989
2016-07-25,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-0.739
2016-07-26,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.774
2016-07-27,TR,WithinPrevRange,BEAR,Bull,WideRange,TR,0.181
2016-07-28,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.321
2016-07-29,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.124
2016-08-01,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-4.054
2016-08-02,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.574
2016-08-03,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-3.222
2016-08-04,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,1.865
2016-08-05,TR,GapUp>PrevHigh,TR,Bear,WideRange,TR,0.52
2016-08-08,TR,GapUp>PrevHigh,TR,Bear,WideRange,BULL,2.468
2016-08-09,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.399
2016-08-10,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.84
2016-08-11,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.936
2016-08-12,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.858
2016-08-16,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.203
2016-08-17,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.134
2016-08-18,TR,WithinPrevRange,BULL,Bull,Normal,TR,-0.067
2016-08-19,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.116
2016-08-22,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.507
2016-08-23,BEAR,WithinPrevRange,TR,Doji,WideRange,TR,-0.401
2016-08-24,TR,WithinPrevRange,BULL,Bull,Normal,TR,0.0
2016-08-25,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.136
2016-08-26,BEAR,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.171
2016-08-29,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,1.746
2016-08-30,TR,WithinPrevRange,TR,Bull,Normal,TR,0.068
2016-08-31,TR,WithinPrevRange,BEAR,Bull,Normal,BEAR,-0.95
2016-09-01,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-3.425
2016-09-02,BEAR,WithinPrevRange,BULL,Bull,Normal,TR,-0.07
2016-09-06,TR,WithinPrevRange,BULL,Bull,Normal,TR,0.139
2016-09-07,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.695
2016-09-08,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.78
2016-09-09,BULL,WithinPrevRange,TR,Bear,Normal,BEAR,-1.142
2016-09-12,BEAR,GapDown<PrevLow,TR,Bear,WideRange,BEAR,-1.682
2016-09-14,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.564
2016-09-15,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.184
2016-09-16,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-4.312
2016-09-19,BEAR,WithinPrevRange,TR,Bear,Normal,TR,0.143
2016-09-20,TR,WithinPrevRange,BULL,Bull,Normal,BEAR,-0.842
2016-09-21,TR,WithinPrevRange,BULL,Bull,Normal,BEAR,-0.701
2016-09-22,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.349
2016-09-23,TR,WithinPrevRange,BULL,Doji,WideRange,BEAR,-0.899
2016-09-26,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.676
2016-09-27,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.494
2016-09-28,TR,WithinPrevRange,BULL,Doji,Normal,TR,0.565
2016-09-29,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-9.325
2016-09-30,BEAR,WithinPrevRange,BULL,Bear,WideRange,TR,0.383
2016-10-03,TR,WithinPrevRange,BULL,Bull,Normal,TR,-0.372
2016-10-04,TR,GapUp>PrevHigh,BEAR,Bull,WideRange,TR,-0.147
2016-10-05,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.878
2016-10-06,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.128
2016-10-07,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,2.016
2016-10-10,TR,WithinPrevRange,TR,Bear,WideRange,BULL,1.541
2016-10-13,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.603
2016-10-14,BEAR,WithinPrevRange,TR,Bear,WideRange,TR,-0.147
2016-10-17,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.17
2016-10-18,TR,WithinPrevRange,BULL,Bull,Normal,TR,0.366
2016-10-19,BULL,GapUp>PrevHigh,TR,Bull,Normal,TR,0.435
2016-10-20,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.007
2016-10-21,BULL,WithinPrevRange,TR,Bear,WideRange,BULL,0.847
2016-10-24,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.556
2016-10-25,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-1.821
2016-10-26,BEAR,WithinPrevRange,BULL,Bear,Normal,TR,-0.444
2016-10-27,TR,WithinPrevRange,TR,Bear,Normal,TR,-0.596
2016-10-28,BEAR,WithinPrevRange,TR,Bear,WideRange,TR,-0.075
2016-11-01,TR,WithinPrevRange,BULL,Bear,Normal,TR,-0.522
2016-11-02,BEAR,GapDown<PrevLow,TR,Bear,WideRange,BEAR,-1.674
2016-11-03,BEAR,WithinPrevRange,BULL,Bull,Normal,BEAR,-1.3
2016-11-04,TR,WithinPrevRange,TR,Doji,WideRange,BEAR,-3.709
2016-11-07,BEAR,WithinPrevRange,BEAR,Bear,Normal,TR,0.397
2016-11-08,TR,WithinPrevRange,TR,Bull,WideRange,BULL,2.439
2016-11-09,TR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,1.227
2016-11-10,BULL,GapUp>PrevHigh,BULL,Bull,WideRange,BULL,2.506
2016-11-11,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.701
2016-11-15,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.05
2016-11-16,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.241
2016-11-17,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,0.64
2016-11-18,BULL,WithinPrevRange,BEAR,Doji,WideRange,BULL,2.64
2016-11-21,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.484
2016-11-22,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.73
2016-11-23,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.556
2016-11-24,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.043
2016-11-25,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.759
2016-11-28,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,2.572
2016-11-29,BULL,WithinPrevRange,BULL,Bull,WideRange,TR,0.0
2016-11-30,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.096
2016-12-01,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.183
2016-12-02,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.113
2016-12-05,TR,WithinPrevRange,TR,Bull,WideRange,TR,0.361
2016-12-06,BULL,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.072
2016-12-07,BEAR,GapUp>PrevHigh,BEAR,Bear,WideRange,BEAR,-1.343
2016-12-08,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.142
2016-12-09,BULL,GapUp>PrevHigh,TR,Bear,Normal,TR,-0.14
2016-12-12,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.211
2016-12-13,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.281
2016-12-14,TR,WithinPrevRange,BULL,Bull,Normal,BEAR,-1.12
2016-12-15,TR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,1.326
2016-12-16,BULL,WithinPrevRange,BEAR,Bull,WideRange,TR,-0.068
2016-12-19,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.068
2016-12-20,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.639
2016-12-21,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.31
2016-12-22,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-2.18
2016-12-23,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.627
2016-12-26,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.216
2016-12-27,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.343
2016-12-28,TR,WithinPrevRange,BEAR,Bear,Normal,TR,0.354
2016-12-29,TR,WithinPrevRange,TR,Bull,WideRange,BULL,3.253
2016-12-30,BULL,WithinPrevRange,BEAR,Bear,WideRange,BULL,5.353
2017-01-02,BULL,GapUp>PrevHigh,BEAR,Bear,Normal,TR,-0.13
2017-01-03,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.455
2017-01-04,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.895
2017-01-05,TR,WithinPrevRange,BULL,Bull,Normal,TR,0.444
2017-01-06,BULL,WithinPrevRange,TR,Bull,Normal,BEAR,-1.068
2017-01-09,TR,WithinPrevRange,BEAR,Bull,Normal,TR,0.255
2017-01-10,TR,WithinPrevRange,TR,Bull,WideRange,BULL,2.606
2017-01-11,BULL,WithinPrevRange,BULL,Bull,Normal,TR,0.0
2017-01-12,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.375
2017-01-13,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.061
2017-01-16,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.406
2017-01-17,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.754
2017-01-18,BEAR,WithinPrevRange,TR,Bear,WideRange,TR,0.317
2017-01-19,TR,WithinPrevRange,TR,Bear,WideRange,BULL,1.385
2017-01-20,BULL,GapUp>PrevHigh,TR,Bull,WideRange,BEAR,-4.182
2017-01-23,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.256
2017-01-24,TR,WithinPrevRange,TR,Bull,WideRange,BULL,0.953
2017-01-25,BULL,WithinPrevRange,TR,Bear,Normal,BULL,0.691
2017-01-27,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,14.753
2017-01-30,BULL,WithinPrevRange,TR,Bull,WideRange,BULL,0.654
2017-01-31,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-5.892
2017-02-01,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,2.658
2017-02-02,BULL,WithinPrevRange,BULL,Bear,WideRange,BULL,4.722
2017-02-03,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.053
2017-02-06,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.511
2017-02-07,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-5.266
2017-02-08,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.182
2017-02-09,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,0.97
2017-02-10,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.011
2017-02-13,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.809
2017-02-14,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,1.224
2017-02-15,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.679
2017-02-16,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.228
2017-02-17,TR,GapUp>PrevHigh,BEAR,Bear,Normal,TR,0.053
2017-02-20,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,2.848
2017-02-21,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.102
2017-02-22,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-2.474
2017-02-23,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.797
2017-02-27,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-0.93
2017-02-28,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.494
2017-03-01,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.203
2017-03-02,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-5.207
2017-03-03,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.212
2017-03-06,BULL,WithinPrevRange,BEAR,Bear,Normal,TR,0.58
2017-03-07,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.012
2017-03-08,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-3.221
2017-03-09,BEAR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.741
2017-03-10,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.739
2017-03-14,TR,GapUp>PrevHigh,BEAR,Bear,WideRange,BULL,1.297
2017-03-15,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,4.696
2017-03-16,BULL,GapUp>PrevHigh,TR,Bull,WideRange,TR,-0.387
2017-03-17,TR,WithinPrevRange,BULL,Bear,WideRange,TR,0.0
2017-03-20,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.048
2017-03-21,TR,WithinPrevRange,TR,Bear,WideRange,BULL,0.633
2017-03-22,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.826
2017-03-23,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.093
2017-03-24,BULL,WithinPrevRange,BEAR,Bull,WideRange,TR,0.047
2017-03-27,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.67
2017-03-28,TR,WithinPrevRange,TR,Bear,Normal,BEAR,-0.855
2017-03-29,TR,WithinPrevRange,BEAR,Bear,Normal,TR,0.144
2017-03-30,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.094
2017-03-31,BULL,WithinPrevRange,BEAR,Bull,WideRange,BULL,2.699
2017-04-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.238
2017-04-05,BULL,WithinPrevRange,BULL,Bear,WideRange,BULL,1.641
2017-04-06,BULL,WithinPrevRange,TR,Bull,Normal,BULL,0.961
2017-04-07,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,2.307
2017-04-10,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.395
2017-04-11,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.773
2017-04-12,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-2.474
2017-04-13,TR,WithinPrevRange,TR,Bear,WideRange,BULL,1.923
2017-04-17,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,5.636
2017-04-18,BULL,WithinPrevRange,BULL,Bull,WideRange,TR,0.587
2017-04-19,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.912
2017-04-20,TR,WithinPrevRange,TR,Bull,WideRange,TR,0.068
2017-04-21,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.851
2017-04-24,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.114
2017-04-25,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.398
2017-04-26,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-20.786
2017-04-27,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-10.367
2017-04-28,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-5.425
2017-05-02,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,3.458
2017-05-03,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.089
2017-05-04,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.0
2017-05-05,TR,WithinPrevRange,TR,Bear,WideRange,BULL,0.935
2017-05-08,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.926
2017-05-09,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.281
2017-05-10,BULL,WithinPrevRange,TR,Bull,WideRange,BULL,0.828
2017-05-11,BULL,GapUp>PrevHigh,BEAR,Bull,WideRange,BEAR,-4.035
2017-05-12,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.785
2017-05-15,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.574
2017-05-16,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-0.686
2017-05-17,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.165
2017-05-18,TR,GapDown<PrevLow,TR,Bull,WideRange,TR,0.375
2017-05-19,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.456
2017-05-22,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.041
2017-05-23,TR,GapDown<PrevLow,BEAR,Bear,WideRange,TR,0.133
2017-05-24,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.57
2017-05-25,TR,GapUp>PrevHigh,BEAR,Bear,WideRange,BEAR,-1.191
2017-05-26,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.817
2017-05-29,TR,GapDown<PrevLow,TR,Bull,WideRange,BEAR,-2.663
2017-05-30,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,5.129
2017-05-31,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.06
2017-06-01,TR,WithinPrevRange,BULL,Bear,WideRange,TR,-0.511
2017-06-02,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.34
2017-06-05,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.557
2017-06-06,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,4.898
2017-06-07,BULL,GapUp>PrevHigh,BULL,Bull,WideRange,BEAR,-1.533
2017-06-08,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.979
2017-06-09,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.079
2017-06-12,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.985
2017-06-13,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.931
2017-06-14,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.152
2017-06-15,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.53
2017-06-16,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.541
2017-06-19,TR,WithinPrevRange,TR,Doji,Normal,TR,-0.265
2017-06-20,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.533
2017-06-21,TR,WithinPrevRange,TR,Bull,Normal,TR,0.343
2017-06-22,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.945
2017-06-23,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.977
2017-06-27,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.448
2017-06-28,BULL,WithinPrevRange,TR,Bull,WideRange,TR,0.111
2017-06-29,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.408
2017-06-30,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.113
2017-07-03,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.036
2017-07-04,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.015
2017-07-05,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,1.465
2017-07-06,TR,WithinPrevRange,TR,Bear,Normal,TR,0.52
2017-07-07,TR,WithinPrevRange,BULL,Bull,Normal,TR,-0.371
2017-07-10,TR,WithinPrevRange,TR,Unknown,Normal,TR,-0.037
2017-07-11,TR,WithinPrevRange,TR,Bear,Normal,TR,-0.521
2017-07-12,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.509
2017-07-13,BULL,GapUp>PrevHigh,BULL,Bear,WideRange,BEAR,-1.261
2017-07-14,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.535
2017-07-17,TR,WithinPrevRange,BEAR,Bull,Normal,BULL,0.648
2017-07-18,TR,GapDown<PrevLow,BULL,Bull,WideRange,BEAR,-0.897
2017-07-19,TR,WithinPrevRange,BULL,Bull,WideRange,TR,0.504
2017-07-20,TR,WithinPrevRange,TR,Bear,WideRange,BULL,0.79
2017-07-21,TR,WithinPrevRange,BEAR,Bull,WideRange,TR,0.39
2017-07-24,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.021
2017-07-25,BEAR,WithinPrevRange,BEAR,Bear,Normal,TR,-0.428
2017-07-26,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.076
2017-07-27,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.388
2017-07-28,BEAR,WithinPrevRange,BULL,Bear,WideRange,TR,0.362
2017-07-31,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.289
2017-08-01,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,0.756
2017-08-02,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.628
2017-08-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.021
2017-08-04,BEAR,WithinPrevRange,BULL,Bull,Normal,TR,0.109
2017-08-07,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,0.827
2017-08-08,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.962
2017-08-09,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-4.716
2017-08-10,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-3.698
2017-08-11,BEAR,GapDown<PrevLow,TR,Bear,WideRange,BULL,2.676
2017-08-14,TR,WithinPrevRange,TR,Doji,WideRange,BULL,0.736
2017-08-16,TR,WithinPrevRange,TR,Bull,WideRange,BULL,4.792
2017-08-17,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.113
2017-08-18,TR,GapDown<PrevLow,BULL,Bull,WideRange,TR,-0.133
2017-08-21,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-4.753
2017-08-22,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.047
2017-08-23,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,2.136
2017-08-24,BULL,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.176
2017-08-28,TR,GapUp>PrevHigh,BEAR,Bull,WideRange,BULL,2.621
2017-08-29,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,0.803
2017-08-30,TR,WithinPrevRange,TR,Bull,WideRange,BULL,0.811
2017-08-31,BULL,GapUp>PrevHigh,BEAR,Bear,WideRange,BULL,1.998
2017-09-01,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.896
2017-09-04,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.055
2017-09-05,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,0.075
2017-09-06,TR,GapDown<PrevLow,TR,Bull,WideRange,BULL,1.005
2017-09-07,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.983
2017-09-08,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-2.369
2017-09-11,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BULL,1.162
2017-09-12,BULL,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.635
2017-09-13,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.317
2017-09-14,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.604
2017-09-15,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.42
2017-09-18,TR,GapUp>PrevHigh,TR,Bull,WideRange,TR,-0.569
2017-09-19,TR,WithinPrevRange,TR,Bear,Normal,TR,0.229
2017-09-20,TR,WithinPrevRange,TR,Bear,Normal,BEAR,-1.22
2017-09-21,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.314
2017-09-22,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-3.173
2017-09-25,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.128
2017-09-26,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,3.118
2017-09-27,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-4.559
2017-09-28,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BULL,1.185
2017-09-29,TR,WithinPrevRange,TR,Bull,Normal,TR,0.086
2017-10-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.587
2017-10-04,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.458
2017-10-05,BULL,GapUp>PrevHigh,BULL,Doji,WideRange,TR,0.332
2017-10-06,BULL,WithinPrevRange,BULL,Bull,WideRange,TR,-0.363
2017-10-09,TR,GapDown<PrevLow,BEAR,Bear,WideRange,TR,0.084
2017-10-10,TR,WithinPrevRange,BULL,Bull,Normal,TR,-0.166
2017-10-11,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.059
