Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2015-06-08 00:00:00+05:30,BEAR,OOH,BULL,TR,-0.429
2015-06-09 00:00:00+05:30,BULL,OOL,TR,TR,-0.383
2015-06-10 00:00:00+05:30,BULL,OOH,TR,BEAR,-0.801
2015-06-11 00:00:00+05:30,BEAR,OIM,TR,BEAR,-3.181
2015-06-12 00:00:00+05:30,BEAR,OOL,BEAR,BULL,0.932
2015-06-15 00:00:00+05:30,BULL,OIM,TR,BULL,1.827
2015-06-16 00:00:00+05:30,BEAR,OIM,BULL,TR,0.05
2015-06-17 00:00:00+05:30,BEAR,OIM,TR,BULL,0.657
2015-06-18 00:00:00+05:30,TR,OIM,TR,BEAR,-1.552
2015-06-19 00:00:00+05:30,TR,OIM,BEAR,TR,-0.504
2015-06-22 00:00:00+05:30,TR,OOH,TR,BULL,3.216
2015-06-23 00:00:00+05:30,BULL,OOH,BULL,BULL,3.348
2015-06-24 00:00:00+05:30,BEAR,OAR,BULL,TR,0.327
2015-06-25 00:00:00+05:30,BULL,OBR,TR,BULL,1.225
2015-06-26 00:00:00+05:30,BEAR,OIM,BULL,BEAR,-0.661
2015-06-29 00:00:00+05:30,TR,OBR,TR,TR,-0.49
2015-06-30 00:00:00+05:30,BEAR,OOL,TR,BEAR,-2.719
2015-07-01 00:00:00+05:30,BULL,OIM,BEAR,TR,-0.35
2015-07-02 00:00:00+05:30,BULL,OIM,TR,BEAR,-2.394
2015-07-03 00:00:00+05:30,TR,OBR,BEAR,BEAR,-1.39
2015-07-06 00:00:00+05:30,TR,OBR,BEAR,BULL,3.435
2015-07-07 00:00:00+05:30,BEAR,OAR,BULL,BULL,1.278
2015-07-08 00:00:00+05:30,TR,OIM,TR,TR,-0.102
2015-07-09 00:00:00+05:30,BULL,OIM,TR,BEAR,-0.65
2015-07-10 00:00:00+05:30,BEAR,OAR,TR,BEAR,-1.663
2015-07-13 00:00:00+05:30,TR,OOL,BEAR,BULL,1.851
2015-07-14 00:00:00+05:30,TR,OOH,BULL,BULL,4.19
2015-07-15 00:00:00+05:30,BULL,OAR,BULL,BULL,1.206
2015-07-16 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.301
2015-07-17 00:00:00+05:30,TR,OOL,BEAR,TR,0.485
2015-07-20 00:00:00+05:30,BEAR,OIM,BULL,TR,-0.294
2015-07-21 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-4.307
2015-07-22 00:00:00+05:30,BEAR,OOL,BEAR,BULL,4.105
2015-07-23 00:00:00+05:30,BEAR,OIM,TR,BEAR,-3.414
2015-07-24 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-0.957
2015-07-27 00:00:00+05:30,BEAR,OIM,TR,TR,0.325
2015-07-28 00:00:00+05:30,BEAR,OIM,TR,BEAR,-5.809
2015-07-29 00:00:00+05:30,BEAR,OOL,BEAR,BULL,1.867
2015-07-30 00:00:00+05:30,TR,OAR,TR,BEAR,-0.683
