Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2023-12-21 00:00:00+05:30,BULL,OOL,TR,BULL,1.019
2023-12-22 00:00:00+05:30,TR,OAR,BULL,BEAR,-0.962
2023-12-26 00:00:00+05:30,TR,OIM,TR,BEAR,-0.676
2023-12-27 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.657
2023-12-28 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.871
2023-12-29 00:00:00+05:30,TR,OIM,TR,TR,-0.555
2024-01-01 00:00:00+05:30,BULL,OIM,TR,TR,0.149
2024-01-02 00:00:00+05:30,TR,OIM,TR,TR,-0.106
2024-01-03 00:00:00+05:30,BEAR,OOH,TR,TR,0.064
2024-01-04 00:00:00+05:30,BEAR,OAR,TR,BULL,1.727
2024-01-05 00:00:00+05:30,BULL,OAR,TR,BEAR,-1.338
2024-01-08 00:00:00+05:30,BEAR,OOH,TR,TR,-0.165
2024-01-09 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.206
2024-01-10 00:00:00+05:30,BEAR,OOL,BEAR,TR,0.083
2024-01-11 00:00:00+05:30,TR,OAR,TR,BULL,3.977
2024-01-12 00:00:00+05:30,BEAR,OAR,BULL,TR,-0.176
2024-01-15 00:00:00+05:30,TR,OOH,TR,BULL,2.274
2024-01-16 00:00:00+05:30,BULL,OBR,BULL,BEAR,-2.429
2024-01-17 00:00:00+05:30,TR,OOL,TR,BEAR,-1.502
2024-01-18 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.164
2024-01-19 00:00:00+05:30,TR,OOH,TR,TR,0.142
2024-01-20 00:00:00+05:30,BEAR,OOH,TR,BEAR,-0.625
2024-01-23 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.634
2024-01-24 00:00:00+05:30,TR,OOL,BEAR,TR,-0.167
2024-01-25 00:00:00+05:30,BULL,OOH,TR,BEAR,-0.826
2024-01-29 00:00:00+05:30,BULL,OOH,TR,BULL,3.42
2024-01-30 00:00:00+05:30,TR,OOH,BULL,BEAR,-2.017
2024-01-31 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-0.859
2024-02-01 00:00:00+05:30,BULL,OAR,TR,TR,-0.158
2024-02-02 00:00:00+05:30,TR,OIM,TR,TR,0.217
2024-02-05 00:00:00+05:30,TR,OOH,TR,BULL,12.225
2024-02-06 00:00:00+05:30,TR,OOH,BULL,BEAR,-1.587
2024-02-07 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.049
2024-02-08 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.701
2024-02-09 00:00:00+05:30,TR,OOL,BEAR,BULL,1.644
2024-02-12 00:00:00+05:30,TR,OOH,BULL,BEAR,-2.766
2024-02-13 00:00:00+05:30,BEAR,OOL,TR,BULL,1.651
2024-02-14 00:00:00+05:30,BEAR,OIM,TR,BULL,1.256
2024-02-15 00:00:00+05:30,BEAR,OOH,TR,TR,0.091
2024-02-16 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.729
2024-02-19 00:00:00+05:30,TR,OIM,BEAR,TR,-0.4
2024-02-20 00:00:00+05:30,BULL,OIM,TR,BULL,1.132
2024-02-21 00:00:00+05:30,BULL,OIM,TR,BULL,0.85
2024-02-22 00:00:00+05:30,BULL,OOH,TR,TR,0.587
2024-02-23 00:00:00+05:30,BULL,OAR,BULL,BULL,3.257
2024-02-26 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-2.021
2024-02-27 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-4.083
2024-02-28 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-2.593
2024-02-29 00:00:00+05:30,TR,OIM,BEAR,BEAR,-2.071
2024-03-01 00:00:00+05:30,BULL,OIM,TR,BULL,0.969
2024-03-02 00:00:00+05:30,BULL,OOH,TR,BULL,0.967
2024-03-04 00:00:00+05:30,BEAR,OAR,BULL,TR,0.544
2024-03-05 00:00:00+05:30,TR,OIM,BEAR,BEAR,-1.489
2024-03-06 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.374
2024-03-07 00:00:00+05:30,BEAR,OIM,TR,BULL,2.544
2024-03-11 00:00:00+05:30,BULL,OOH,TR,BULL,2.565
2024-03-12 00:00:00+05:30,BULL,OAR,BULL,BEAR,-1.654
2024-03-13 00:00:00+05:30,BEAR,OIM,TR,BEAR,-5.274
