Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2015-06-05 00:00:00+05:30,TR,OOL,TR,BULL,0.899
2015-06-08 00:00:00+05:30,TR,OAR,BULL,BEAR,-1.531
2015-06-09 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-0.701
2015-06-10 00:00:00+05:30,TR,OOH,TR,TR,0.234
2015-06-11 00:00:00+05:30,TR,OIM,TR,BEAR,-3.792
2015-06-12 00:00:00+05:30,TR,OBR,BEAR,BEAR,-0.875
2015-06-15 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.017
2015-06-16 00:00:00+05:30,BULL,OIM,TR,TR,-0.44
2015-06-17 00:00:00+05:30,TR,OOH,TR,TR,0.049
2015-06-18 00:00:00+05:30,TR,OIM,TR,TR,-0.195
2015-06-19 00:00:00+05:30,TR,OIM,BEAR,BULL,2.624
2015-06-22 00:00:00+05:30,BEAR,OAR,BULL,BULL,1.997
2015-06-23 00:00:00+05:30,BULL,OOH,TR,BULL,0.603
2015-06-24 00:00:00+05:30,TR,OAR,TR,TR,-0.596
2015-06-25 00:00:00+05:30,TR,OOL,BEAR,TR,-0.187
2015-06-26 00:00:00+05:30,BEAR,OOL,TR,BULL,0.71
2015-06-29 00:00:00+05:30,BEAR,OBR,TR,BEAR,-0.728
2015-06-30 00:00:00+05:30,BULL,OIM,TR,TR,0.194
2015-07-01 00:00:00+05:30,BULL,OIM,TR,BULL,1.985
2015-07-02 00:00:00+05:30,BULL,OOH,BULL,TR,-0.519
2015-07-03 00:00:00+05:30,BULL,OIM,TR,BULL,0.754
2015-07-06 00:00:00+05:30,TR,OOL,BULL,BULL,2.361
2015-07-07 00:00:00+05:30,BULL,OOH,BULL,BEAR,-1.475
2015-07-08 00:00:00+05:30,BEAR,OBR,TR,BULL,1.006
2015-07-09 00:00:00+05:30,BULL,OOH,TR,BULL,0.991
2015-07-10 00:00:00+05:30,BEAR,OOH,BULL,TR,-0.28
2015-07-13 00:00:00+05:30,TR,OIM,TR,TR,0.0
2015-07-14 00:00:00+05:30,BEAR,OOH,TR,BEAR,-0.927
2015-07-15 00:00:00+05:30,TR,OOL,TR,BEAR,-1.73
2015-07-16 00:00:00+05:30,TR,OIM,BEAR,BULL,4.915
2015-07-17 00:00:00+05:30,BEAR,OAR,BULL,TR,-0.497
2015-07-20 00:00:00+05:30,TR,OOL,BEAR,BEAR,-0.774
2015-07-21 00:00:00+05:30,BULL,OIM,TR,BEAR,-3.097
2015-07-22 00:00:00+05:30,BULL,OOL,BEAR,BULL,3.296
2015-07-23 00:00:00+05:30,TR,OOH,BULL,TR,0.092
