Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2015-06-05,TR,OOL,TR,NORMAL,WBR,BEAR,-1.033
2015-06-08,BEAR,OBR,BEAR,NORMAL,SBR,BULL,0.868
2015-06-09,BULL,OIM,TR,NORMAL,SWR,BULL,1.532
2015-06-10,BULL,OIM,BULL,NORMAL,SWR,BULL,0.834
2015-06-11,BEAR,OOH,BULL,NORMAL,SWR,BEAR,-2.602
2015-06-12,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-0.8
2015-06-15,BEAR,OOH,TR,NORMAL,SWR,BULL,0.696
2015-06-16,TR,OOH,TR,HUGE OPEN,WAR,BULL,1.279
2015-06-17,BEAR,OAR,TR,NORMAL,SWR,BULL,1.143
2015-06-18,BULL,OOH,TR,NORMAL,WAR,BULL,2.501
2015-06-19,BEAR,OOH,BULL,NORMAL,SWR,BEAR,-1.455
2015-06-22,BULL,OIM,BEAR,DOJI,SWR,BULL,0.868
2015-06-23,TR,OOH,TR,NORMAL,WAR,BEAR,-1.712
2015-06-24,BEAR,OOL,TR,NORMAL,SWR,BEAR,-1.101
2015-06-25,TR,OIM,BEAR,NORMAL,SWR,TR,0.104
2015-06-26,TR,OOH,TR,NORMAL,SWR,BULL,0.842
2015-06-29,BEAR,OBR,TR,HUGE OPEN,SBR,BULL,1.301
2015-06-30,BEAR,OIM,TR,NORMAL,SWR,BULL,2.413
2015-07-01,BULL,OOH,TR,DOJI,WAR,BULL,1.462
2015-07-02,TR,OOH,BULL,NORMAL,SWR,BEAR,-1.564
2015-07-03,TR,OOL,BEAR,NORMAL,WBR,TR,-0.448
2015-07-06,TR,OBR,TR,HUGE OPEN,SBR,BULL,0.979
2015-07-07,BEAR,OOH,TR,NORMAL,WAR,TR,0.104
2015-07-08,BEAR,OBR,TR,HUGE OPEN,SBR,BEAR,-1.705
2015-07-09,BEAR,OBR,BEAR,NORMAL,SWR,TR,0.582
2015-07-10,TR,OOH,TR,DOJI,SWR,TR,0.012
2015-07-13,BEAR,OOH,TR,NORMAL,SWR,TR,0.05
2015-07-14,BEAR,OOH,TR,HUGE OPEN,WBR,BEAR,-2.343
2015-07-15,BULL,OOL,BEAR,NORMAL,SWR,BULL,1.532
2015-07-16,TR,OOH,BULL,NORMAL,WAR,TR,-0.025
2015-07-17,BEAR,OIM,TR,NORMAL,SWR,BULL,1.092
2015-07-20,BEAR,OIM,TR,NORMAL,SWR,BEAR,-1.273
2015-07-21,BEAR,OOL,BEAR,NORMAL,WBR,TR,0.4
2015-07-22,TR,OOL,TR,NORMAL,SWR,TR,0.567
2015-07-23,BEAR,OIM,TR,NORMAL,SWR,BULL,3.711
2015-07-24,BULL,OIM,BULL,NORMAL,SWR,BEAR,-2.01
2015-07-27,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-0.878
2015-07-28,BEAR,OOL,BEAR,DOJI,WBR,TR,-0.256
2015-07-29,BULL,OOH,TR,DOJI,SWR,TR,0.507
2015-07-30,TR,OAR,BULL,NORMAL,SAR,BEAR,-0.971
2015-07-31,BULL,OIM,TR,NORMAL,WAR,TR,0.47
2015-08-03,TR,OIM,TR,NORMAL,SWR,TR,0.258
2015-08-04,BEAR,OOL,TR,NORMAL,SWR,TR,-0.51
2015-08-05,BEAR,OOL,TR,NORMAL,SWR,TR,-0.383
2015-08-06,BEAR,OOL,TR,NORMAL,SWR,BULL,1.612
2015-08-07,TR,OOH,TR,NORMAL,WAR,BULL,2.566
2015-08-10,BULL,OOL,BULL,NORMAL,SWR,BEAR,-1.585
2015-08-11,BEAR,OIM,TR,DOJI,WBR,BEAR,-3.105
2015-08-12,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-0.714
2015-08-13,BEAR,OOL,BEAR,NORMAL,SWR,BEAR,-2.006
2015-08-14,BEAR,OIM,BEAR,NORMAL,SWR,BULL,1.327
2015-08-17,BEAR,OIM,TR,NORMAL,SWR,BULL,2.989
2015-08-18,BEAR,OIM,TR,DOJI,SWR,BEAR,-1.034
2015-08-19,TR,OOL,BEAR,NORMAL,WBR,BULL,0.833
