Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2025-03-13 00:00:00+05:30,TR,OIM,BEAR,BULL,0.844
2025-03-17 00:00:00+05:30,BULL,OOH,TR,TR,-0.253
2025-03-18 00:00:00+05:30,TR,OOH,TR,TR,0.394
2025-03-19 00:00:00+05:30,BULL,OOH,TR,BULL,0.867
2025-03-20 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.546
2025-03-21 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.887
2025-03-24 00:00:00+05:30,TR,OIM,TR,TR,-0.467
2025-03-25 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.906
2025-03-26 00:00:00+05:30,TR,OBR,BEAR,BEAR,-2.423
2025-03-27 00:00:00+05:30,BEAR,OOL,TR,BULL,6.758
2025-03-28 00:00:00+05:30,BULL,OOH,TR,BEAR,-2.286
2025-04-01 00:00:00+05:30,BULL,OOL,TR,BULL,0.907
2025-04-02 00:00:00+05:30,BULL,OIM,TR,BULL,3.249
2025-04-03 00:00:00+05:30,BULL,OIM,BULL,BULL,1.274
2025-04-04 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.835
2025-04-07 00:00:00+05:30,BULL,OBR,TR,TR,0.515
2025-04-08 00:00:00+05:30,BEAR,OAR,BULL,BULL,1.581
2025-04-09 00:00:00+05:30,TR,OOH,TR,BULL,1.913
2025-04-11 00:00:00+05:30,BEAR,OAR,TR,BEAR,-1.773
2025-04-15 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-2.01
2025-04-16 00:00:00+05:30,TR,OOL,TR,TR,-0.532
2025-04-17 00:00:00+05:30,BULL,OIM,TR,TR,-0.525
2025-04-21 00:00:00+05:30,BULL,OIM,TR,BEAR,-0.794
2025-04-22 00:00:00+05:30,BULL,OIM,TR,TR,-0.377
2025-04-23 00:00:00+05:30,BEAR,OOH,TR,BULL,1.033
2025-04-24 00:00:00+05:30,TR,OIM,TR,BEAR,-1.346
2025-04-25 00:00:00+05:30,BEAR,OOL,TR,BEAR,-3.605
2025-04-28 00:00:00+05:30,TR,OOL,BEAR,TR,0.108
2025-04-29 00:00:00+05:30,BEAR,OOH,TR,BEAR,-1.215
2025-04-30 00:00:00+05:30,BEAR,OOH,BEAR,BULL,1.096
2025-05-02 00:00:00+05:30,BEAR,OOL,TR,BEAR,-1.642
2025-05-05 00:00:00+05:30,BULL,OIM,BEAR,BULL,9.527
2025-05-06 00:00:00+05:30,BULL,OIM,BULL,BULL,1.301
