Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2022-09-16 00:00:00+05:30,BEAR,OIM,BULL,BEAR,-2.011
2022-09-19 00:00:00+05:30,TR,OOL,BEAR,TR,-0.335
2022-09-20 00:00:00+05:30,TR,OIM,TR,BEAR,-0.689
2022-09-21 00:00:00+05:30,TR,OOL,TR,TR,-0.594
2022-09-22 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-0.884
2022-09-23 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.633
2022-09-26 00:00:00+05:30,BEAR,OBR,BEAR,TR,-0.355
2022-09-27 00:00:00+05:30,TR,OOL,BEAR,BEAR,-0.897
2022-09-28 00:00:00+05:30,BEAR,OBR,TR,TR,-0.432
2022-09-29 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.617
2022-09-30 00:00:00+05:30,TR,OOL,BEAR,TR,0.404
2022-10-03 00:00:00+05:30,TR,OIM,TR,TR,-0.289
2022-10-04 00:00:00+05:30,TR,OOH,TR,TR,0.511
2022-10-06 00:00:00+05:30,BULL,OOH,BULL,TR,-0.53
2022-10-07 00:00:00+05:30,BEAR,OOL,TR,TR,-0.414
2022-10-10 00:00:00+05:30,BEAR,OBR,TR,TR,-0.29
2022-10-11 00:00:00+05:30,BULL,OIM,TR,BEAR,-0.625
2022-10-12 00:00:00+05:30,TR,OIM,TR,BEAR,-0.821
2022-10-13 00:00:00+05:30,TR,OOL,TR,BEAR,-0.642
2022-10-14 00:00:00+05:30,BEAR,OOH,BEAR,BEAR,-0.607
2022-10-17 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.074
2022-10-18 00:00:00+05:30,TR,OIM,TR,TR,-0.483
2022-10-19 00:00:00+05:30,TR,OOL,TR,TR,-0.459
2022-10-20 00:00:00+05:30,BEAR,OIM,TR,TR,-0.141
2022-10-21 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-1.139
2022-10-24 00:00:00+05:30,TR,OIM,BEAR,TR,0.0
2022-10-25 00:00:00+05:30,BEAR,OOH,BULL,TR,-0.084
2022-10-27 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.042
2022-10-28 00:00:00+05:30,TR,OIM,TR,TR,-0.445
2022-10-31 00:00:00+05:30,TR,OAR,TR,TR,-0.313
2022-11-01 00:00:00+05:30,BEAR,OIM,TR,TR,0.215
2022-11-02 00:00:00+05:30,TR,OIM,TR,BULL,2.112
2022-11-03 00:00:00+05:30,BULL,OOH,BULL,TR,0.506
2022-11-04 00:00:00+05:30,BEAR,OOH,BULL,TR,0.048
2022-11-07 00:00:00+05:30,TR,OOH,TR,TR,0.253
2022-11-09 00:00:00+05:30,TR,OIM,TR,BEAR,-0.809
2022-11-10 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.513
2022-11-11 00:00:00+05:30,TR,OIM,BEAR,TR,0.279
2022-11-14 00:00:00+05:30,BEAR,OAR,TR,TR,0.075
2022-11-15 00:00:00+05:30,BEAR,OOL,TR,BEAR,-1.019
2022-11-16 00:00:00+05:30,TR,OOL,BEAR,BEAR,-1.303
2022-11-17 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-0.61
2022-11-18 00:00:00+05:30,TR,OIM,TR,BEAR,-0.791
2022-11-21 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.907
2022-11-22 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-1.224
2022-11-23 00:00:00+05:30,TR,OIM,TR,BEAR,-0.829
2022-11-24 00:00:00+05:30,BULL,OIM,BEAR,TR,-0.16
2022-11-25 00:00:00+05:30,TR,OIM,TR,TR,-0.119
2022-11-28 00:00:00+05:30,BULL,OIM,TR,TR,-0.158
2022-11-29 00:00:00+05:30,BULL,OOL,TR,BULL,0.982
