Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow
2016-08-05,BEAR,Bull Leg,OAR,NORMAL,SAR,BULL,,
2016-08-08,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2016-08-09,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-08-10,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2016-08-11,BEAR,Bull Leg,OOL,DOJI,WBR,BEAR,,
2016-08-12,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,
2016-08-16,TR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2016-08-17,BULL,TR,OOH,NORMAL,SWR,BEAR,,
2016-08-18,TR,TR,OOH,NORMAL,SWR,TR,,
2016-08-19,TR,TR,OIM,NORMAL,SWR,TR,,
2016-08-22,BEAR,Bear Leg,OOL,DOJI,SWR,BEAR,,
2016-08-23,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2016-08-24,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-08-25,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-08-26,BEAR,Bull Leg,OOH,DOJI,WAR,TR,,
2016-08-29,TR,Bull Leg,OAR,NORMAL,SAR,TR,,
2016-08-30,TR,TR,OAR,NORMAL,SWR,TR,,
2016-08-31,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2016-09-01,TR,TR,OIM,NORMAL,SWR,TR,,
2016-09-02,BULL,TR,OAR,HUGE OPEN,SAR,BULL,,
2016-09-06,BULL,Bull Leg,OAR,HUGE OPEN,SAR,TR,,
2016-09-07,BULL,Bear Leg,OOH,NORMAL,SWR,BULL,,
2016-09-08,BEAR,TR,OIM,NORMAL,WBR,TR,,
2016-09-09,TR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-09-12,BULL,TR,OBR,HUGE OPEN,SBR,BEAR,,
2016-09-14,BEAR,Bull Leg,OIM,HUGE OPEN,SWR,TR,,
2016-09-15,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-09-16,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-09-19,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2016-09-20,BEAR,TR,OAR,HUGE OPEN,WBR,TR,,
2016-09-21,TR,TR,OIM,NORMAL,WBR,BEAR,,
2016-09-22,BEAR,TR,OAR,DOJI,SAR,TR,,
2016-09-23,BEAR,TR,OIM,NORMAL,SWR,TR,,
2016-09-26,BEAR,Bear Leg,OBR,HUGE OPEN,SBR,TR,,
2016-09-27,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2016-09-28,BULL,Bull Leg,OOL,DOJI,SWR,TR,,
2016-09-29,BULL,Bear Leg,OOH,DOJI,SWR,TR,,
2016-09-30,BULL,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2016-10-03,BULL,Bear Leg,OAR,NORMAL,SAR,BULL,,
2016-10-04,TR,Bull Leg,OAR,NORMAL,SWR,TR,,
2016-10-05,TR,Bull Leg,OAR,NORMAL,SWR,TR,,
2016-10-06,BEAR,Bear Leg,OAR,NORMAL,SWR,TR,,
2016-10-07,TR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2016-10-10,BEAR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2016-10-13,TR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2016-10-14,BULL,Bull Leg,OIM,DOJI,SWR,TR,,
2016-10-17,BEAR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2016-10-18,TR,TR,OIM,NORMAL,SWR,BEAR,,
2016-10-19,TR,TR,OIM,NORMAL,WBR,TR,,
2016-10-20,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-10-21,BEAR,TR,OIM,NORMAL,WBR,BEAR,,
2016-10-24,TR,Bull Leg,OOL,NORMAL,SWR,TR,,
2016-10-25,BULL,Bear Leg,OOL,NORMAL,SWR,BULL,,
2016-10-26,TR,Bear Leg,OBR,NORMAL,SBR,TR,,
2016-10-27,TR,Bull Leg,OBR,NORMAL,SBR,BEAR,,
2016-10-28,BULL,TR,OAR,NORMAL,SAR,BULL,,
2016-10-30,,,OOH,NORMAL,SWR,BULL,,
2016-11-01,TR,TR,OIM,DOJI,SWR,BEAR,,
2016-11-02,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,
2016-11-03,TR,TR,OBR,DOJI,SWR,BEAR,,
2016-11-04,BEAR,Bull Leg,OOL,NORMAL,SWR,TR,,
2016-11-07,BULL,Bear Leg,OOH,NORMAL,WAR,TR,,
2016-11-08,BULL,Bull Leg,OOH,NORMAL,WAR,BEAR,,
2016-11-09,BULL,Bull Leg,OBR,HUGE OPEN,SWR,BULL,,
2016-11-10,TR,Bear Leg,OOH,NORMAL,WAR,BULL,,
2016-11-11,BEAR,Bear Leg,OBR,NORMAL,SBR,TR,,
2016-11-15,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2016-11-16,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2016-11-17,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-11-18,BEAR,Bull Leg,OIM,DOJI,SWR,BULL,,
2016-11-21,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-11-22,TR,TR,OIM,DOJI,SWR,TR,,
2016-11-23,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2016-11-24,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-11-25,BEAR,Bull Leg,OIM,NORMAL,WBR,BEAR,,
2016-11-28,BULL,Bear Leg,OIM,NORMAL,WAR,TR,,
2016-11-29,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-11-30,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-12-01,BEAR,Bear Leg,OOL,HUGE OPEN,WBR,TR,,
2016-12-02,BULL,Bear Leg,OBR,NORMAL,SWR,BEAR,,
2016-12-05,BULL,TR,OOL,NORMAL,SWR,BEAR,,
2016-12-06,BULL,TR,OOH,DOJI,WAR,TR,,
2016-12-07,BULL,TR,OIM,NORMAL,SWR,TR,,
2016-12-08,BULL,Bull Leg,OAR,HUGE OPEN,SAR,BULL,,
2016-12-09,BULL,Bear Leg,OOH,DOJI,WAR,BULL,,
2016-12-12,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-12-13,BEAR,Bull Leg,OAR,HUGE OPEN,SAR,TR,,
2016-12-14,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-12-15,BULL,Bear Leg,OOL,NORMAL,SWR,TR,,
2016-12-16,TR,TR,OOL,NORMAL,SWR,TR,,
2016-12-19,BEAR,Bull Leg,OIM,DOJI,SWR,BULL,,
2016-12-20,TR,TR,OIM,NORMAL,SWR,TR,,
2016-12-21,BEAR,TR,OOH,DOJI,SWR,TR,,
2016-12-22,BULL,TR,OOL,NORMAL,SWR,BEAR,,
2016-12-23,BEAR,TR,OOL,DOJI,SWR,TR,,
2016-12-26,BEAR,TR,OIM,NORMAL,WBR,TR,,
2016-12-27,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-12-28,BEAR,TR,OOH,NORMAL,SWR,BULL,,
2016-12-29,TR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2016-12-30,TR,TR,OOH,NORMAL,SWR,BULL,,
2017-01-02,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-01-03,TR,Bear Leg,OAR,DOJI,SAR,BULL,,
2017-01-04,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-01-05,BULL,TR,OAR,NORMAL,SAR,TR,,
2017-01-06,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2017-01-09,BEAR,Bull Leg,OOL,NORMAL,WBR,TR,,
2017-01-10,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,
2017-01-11,TR,TR,OAR,NORMAL,SAR,BULL,,
2017-01-12,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2017-01-13,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-01-16,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-01-17,BEAR,TR,OOH,DOJI,WAR,BULL,,
2017-01-18,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-01-19,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,
2017-01-20,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-01-23,BULL,TR,OOL,NORMAL,SWR,TR,,
2017-01-24,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,
2017-01-25,TR,Bull Leg,OAR,DOJI,SWR,BULL,,
2017-01-27,BEAR,TR,OIM,NORMAL,SWR,BULL,,
2017-01-30,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2017-01-31,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2017-02-01,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2017-02-02,BEAR,TR,OIM,NORMAL,SWR,BULL,,
2017-02-03,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-02-06,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-02-07,BEAR,Bear Leg,OOL,HUGE OPEN,WBR,TR,,
2017-02-08,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2017-02-09,BEAR,TR,OAR,NORMAL,SAR,TR,,
2017-02-10,BEAR,TR,OIM,NORMAL,SWR,TR,,
2017-02-13,TR,Bear Leg,OOH,NORMAL,SWR,BEAR,,
2017-02-14,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2017-02-15,BULL,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2017-02-16,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2017-02-17,TR,Bull Leg,OAR,DOJI,SWR,TR,,
2017-02-20,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-02-21,BULL,TR,OOH,NORMAL,WAR,TR,,
2017-02-22,BEAR,Bear Leg,OOH,NORMAL,WAR,TR,,
2017-02-23,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-02-27,BEAR,Bear Leg,OOH,HUGE OPEN,SWR,TR,,
2017-02-28,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2017-03-01,TR,Bear Leg,OIM,HUGE OPEN,WBR,TR,,
2017-03-02,BULL,Bear Leg,OAR,HUGE OPEN,SWR,BEAR,,
2017-03-03,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-03-06,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-03-07,TR,TR,OIM,NORMAL,SWR,BULL,,
2017-03-08,BEAR,TR,OIM,NORMAL,WBR,TR,,
2017-03-09,TR,TR,OOL,NORMAL,SWR,BEAR,,
2017-03-10,BEAR,TR,OAR,DOJI,SWR,TR,,
2017-03-14,BEAR,Bear Leg,OAR,HUGE OPEN,SAR,TR,,
2017-03-15,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2017-03-16,TR,TR,OAR,DOJI,SAR,TR,,
2017-03-17,TR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2017-03-20,BEAR,Bull Leg,OIM,NORMAL,WBR,BEAR,,
2017-03-21,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-03-22,TR,Bear Leg,OBR,NORMAL,SBR,TR,,
2017-03-23,BULL,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2017-03-24,TR,TR,OIM,NORMAL,SWR,TR,,
2017-03-27,TR,TR,OOL,NORMAL,WBR,TR,,
2017-03-28,BULL,TR,OAR,NORMAL,SWR,BEAR,,
2017-03-29,BEAR,TR,OAR,HUGE OPEN,SWR,BULL,,
2017-03-30,BULL,Bull Leg,OBR,NORMAL,SWR,TR,,
2017-03-31,TR,Bear Leg,OIM,DOJI,SWR,BULL,,
2017-04-03,TR,TR,OIM,NORMAL,SWR,TR,,
2017-04-05,BULL,Bull Leg,OIM,HUGE OPEN,WAR,TR,,
2017-04-06,TR,TR,OOH,NORMAL,WAR,TR,,
2017-04-07,BULL,TR,OBR,DOJI,SBR,TR,,
2017-04-10,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-04-11,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2017-04-12,TR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2017-04-13,TR,Bear Leg,OOL,NORMAL,SWR,TR,,
2017-04-17,TR,TR,OOL,NORMAL,WBR,BEAR,,
2017-04-18,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-04-19,TR,TR,OOL,NORMAL,WBR,BEAR,,
2017-04-20,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-04-21,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2017-04-24,TR,TR,OOL,DOJI,SWR,BEAR,,
2017-04-25,BEAR,TR,OIM,NORMAL,SWR,TR,,
2017-04-26,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2017-04-27,BULL,TR,OAR,NORMAL,SAR,TR,,
2017-04-28,TR,TR,OIM,NORMAL,SWR,TR,,
2017-05-02,BEAR,TR,OOL,NORMAL,WBR,TR,,
2017-05-03,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-05-04,BEAR,Bear Leg,OOL,DOJI,WBR,BEAR,,
2017-05-05,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2017-05-08,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2017-05-09,TR,TR,OIM,NORMAL,SWR,TR,,
2017-05-10,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2017-05-11,TR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2017-05-12,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-05-15,TR,TR,OOH,DOJI,SWR,TR,,
2017-05-16,BULL,TR,OOH,DOJI,WAR,TR,,
2017-05-17,BULL,Bull Leg,OIM,DOJI,WAR,BULL,,
2017-05-18,TR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2017-05-19,BULL,TR,OOL,NORMAL,SWR,TR,,
2017-05-22,TR,TR,OAR,NORMAL,SAR,TR,,
2017-05-23,TR,TR,OOH,NORMAL,SWR,TR,,
2017-05-24,BEAR,Bull Leg,OAR,NORMAL,SAR,TR,,
2017-05-25,BULL,Bull Leg,OIM,DOJI,SWR,TR,,
2017-05-26,BULL,TR,OIM,NORMAL,WAR,BULL,,
2017-05-29,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-05-30,BULL,Bear Leg,OOH,NORMAL,WAR,TR,,
2017-05-31,BEAR,TR,OOL,NORMAL,WBR,TR,,
2017-06-01,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-06-02,TR,Bear Leg,OAR,DOJI,SAR,TR,,
2017-06-05,TR,TR,OOL,NORMAL,SWR,TR,,
2017-06-06,BEAR,Bear Leg,OAR,NORMAL,SWR,TR,,
2017-06-07,TR,TR,OOL,NORMAL,WBR,BEAR,,
2017-06-08,TR,TR,OIM,DOJI,SWR,TR,,
2017-06-09,BEAR,Bull Leg,OOL,DOJI,WBR,TR,,
2017-06-12,TR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2017-06-13,BEAR,Bear Leg,OOL,DOJI,SWR,BEAR,,
2017-06-14,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-06-15,TR,TR,OOH,NORMAL,SWR,TR,,
2017-06-16,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-06-19,TR,TR,OIM,DOJI,SWR,TR,,
2017-06-20,BULL,Bull Leg,OAR,HUGE OPEN,SAR,TR,,
2017-06-21,BEAR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2017-06-22,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-06-23,BEAR,Bear Leg,OOL,NORMAL,SWR,TR,,
2017-06-27,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2017-06-28,BEAR,TR,OOH,DOJI,SWR,TR,,
2017-06-29,TR,Bear Leg,OOH,DOJI,SWR,TR,,
2017-06-30,TR,TR,OBR,NORMAL,SBR,BEAR,,
2017-07-03,TR,TR,OIM,HUGE OPEN,WBR,TR,,
2017-07-04,TR,Bear Leg,OOH,NORMAL,WAR,TR,,
2017-07-05,TR,Bull Leg,OOL,DOJI,SWR,BEAR,,
2017-07-06,BULL,TR,OAR,NORMAL,SAR,BULL,,
2017-07-07,TR,TR,OBR,DOJI,SWR,TR,,
2017-07-10,,TR,OAR,NORMAL,SAR,TR,,
2017-07-11,BULL,TR,OAR,HUGE OPEN,SAR,TR,,
2017-07-12,BEAR,TR,OOH,NORMAL,SWR,TR,,
2017-07-13,BEAR,TR,OAR,NORMAL,SWR,TR,,
2017-07-14,BEAR,Bear Leg,OIM,NORMAL,WBR,BEAR,,
2017-07-17,TR,TR,OIM,DOJI,SWR,BEAR,,
2017-07-18,BULL,TR,OBR,HUGE OPEN,SWR,TR,,
2017-07-19,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,
2017-07-20,TR,TR,OAR,NORMAL,SWR,BULL,,
2017-07-21,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,
2017-07-24,BEAR,TR,OOH,DOJI,SWR,BULL,,
2017-07-25,TR,Bear Leg,OIM,DOJI,SWR,TR,,
2017-07-26,TR,TR,OOL,DOJI,SWR,BEAR,,
2017-07-27,BULL,Bear Leg,OOH,NORMAL,WAR,TR,,
2017-07-28,TR,TR,OOL,NORMAL,SWR,BEAR,,
2017-07-31,TR,Bear Leg,OOH,DOJI,WAR,TR,,
2017-08-01,TR,TR,OIM,DOJI,SWR,TR,,
2017-08-02,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-08-03,BEAR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2017-08-04,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2017-08-07,TR,Bear Leg,OOH,DOJI,SWR,TR,,
2017-08-08,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-08-09,BEAR,Bear Leg,OOL,NORMAL,SWR,TR,,
2017-08-10,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2017-08-11,TR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2017-08-14,TR,Bear Leg,OAR,NORMAL,SWR,TR,,
2017-08-16,BEAR,Bull Leg,OOH,DOJI,SWR,TR,,
2017-08-17,TR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2017-08-18,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2017-08-21,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2017-08-22,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2017-08-23,BULL,Bull Leg,OIM,DOJI,SWR,BEAR,,
2017-08-24,BULL,TR,OOH,NORMAL,WAR,BULL,,
2017-08-28,BEAR,Bear Leg,OAR,NORMAL,SWR,BULL,,
2017-08-29,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2017-08-30,TR,TR,OOH,NORMAL,SWR,TR,,
2017-08-31,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-09-01,BULL,Bull Leg,OIM,NORMAL,WAR,BEAR,,
2017-09-04,BEAR,Bear Leg,OAR,NORMAL,SAR,BULL,,
2017-09-05,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-09-06,BULL,Bear Leg,OOL,DOJI,SWR,BULL,,
2017-09-07,BEAR,Bear Leg,OIM,DOJI,WBR,TR,,
2017-09-08,BEAR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-09-11,TR,TR,OOH,NORMAL,SWR,BEAR,,
2017-09-12,BEAR,Bull Leg,OOH,DOJI,SWR,BEAR,,
2017-09-13,BEAR,TR,OAR,NORMAL,SAR,BULL,,
2017-09-14,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-09-15,BEAR,TR,OOH,NORMAL,SWR,BULL,,
2017-09-18,BEAR,Bear Leg,OAR,NORMAL,SAR,TR,,
2017-09-19,BULL,TR,OAR,HUGE OPEN,SAR,BEAR,,
2017-09-20,BEAR,TR,OIM,NORMAL,SWR,BULL,,
2017-09-21,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2017-09-22,TR,TR,OIM,NORMAL,SWR,TR,,
2017-09-25,TR,Bear Leg,OIM,DOJI,SWR,TR,,
2017-09-26,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2017-09-27,BEAR,Bear Leg,OOH,DOJI,SWR,TR,,
2017-09-28,BEAR,TR,OIM,DOJI,SWR,TR,,
2017-09-29,BEAR,Bear Leg,OIM,DOJI,SWR,BEAR,,
2017-10-03,BEAR,Bear Leg,OAR,HUGE OPEN,SAR,TR,,
2017-10-04,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2017-10-05,TR,TR,OOH,NORMAL,SWR,BULL,,
2017-10-06,BEAR,Bull Leg,OOL,HUGE OPEN,WBR,TR,,
2017-10-09,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2017-10-10,TR,TR,OIM,NORMAL,SWR,TR,,
2017-10-11,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-10-12,TR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2017-10-13,BULL,TR,OOH,NORMAL,WAR,TR,,
2017-10-16,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2017-10-17,BEAR,TR,OOH,NORMAL,SWR,BULL,,
2017-10-18,TR,Bull Leg,OIM,NORMAL,WBR,TR,,
2017-10-19,,,OIM,NORMAL,SWR,TR,,
2017-10-23,TR,Bear Leg,OIM,DOJI,SWR,BEAR,,
2017-10-24,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2017-10-25,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2017-10-26,BULL,TR,OIM,NORMAL,SWR,TR,,
2017-10-27,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,
2017-10-30,BULL,Bull Leg,OIM,NORMAL,WAR,TR,,
2017-10-31,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2017-11-01,TR,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2017-11-02,BEAR,TR,OIM,DOJI,SWR,BULL,,
2017-11-03,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-11-06,BEAR,Bull Leg,OOH,NORMAL,SWR,BULL,,
2017-11-07,BULL,Bear Leg,OIM,DOJI,SWR,TR,,
2017-11-08,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,
2017-11-09,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-11-10,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-11-13,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2017-11-14,TR,Bear Leg,OOL,DOJI,SWR,BEAR,,
2017-11-15,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2017-11-16,TR,TR,OIM,NORMAL,SWR,TR,,
2017-11-17,TR,TR,OAR,HUGE OPEN,SAR,BULL,,
2017-11-20,BEAR,TR,OOH,DOJI,WAR,BULL,,
2017-11-21,TR,TR,OOH,NORMAL,SWR,TR,,
2017-11-22,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2017-11-23,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-11-24,TR,TR,OIM,NORMAL,SWR,TR,,
2017-11-27,TR,TR,OBR,DOJI,SBR,TR,,
2017-11-28,TR,Bear Leg,OOL,NORMAL,SWR,TR,,
2017-11-29,TR,TR,OOL,NORMAL,SWR,BEAR,,
2017-11-30,BULL,Bear Leg,OBR,DOJI,SBR,TR,,
2017-12-01,BULL,Bear Leg,OIM,DOJI,SWR,BEAR,,
2017-12-04,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2017-12-05,BEAR,Bull Leg,OIM,DOJI,WBR,TR,,
2017-12-06,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-12-07,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-12-08,BULL,TR,OAR,DOJI,SAR,TR,,
2017-12-11,BEAR,Bear Leg,OOH,NORMAL,WAR,TR,,
2017-12-12,BULL,Bear Leg,OIM,DOJI,WAR,TR,,
2017-12-13,BULL,Bear Leg,OOL,DOJI,SWR,BEAR,,
2017-12-14,BEAR,TR,OIM,DOJI,SWR,BEAR,,
2017-12-15,BULL,Bear Leg,OAR,DOJI,SAR,TR,,
2017-12-18,BULL,TR,OBR,HUGE OPEN,SBR,TR,,
2017-12-19,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2017-12-20,TR,TR,OOH,DOJI,WAR,BULL,,
2017-12-21,BEAR,TR,OIM,NORMAL,SWR,TR,,
2017-12-22,TR,TR,OIM,NORMAL,SWR,BEAR,,
2017-12-26,TR,Bull Leg,OOL,DOJI,SWR,TR,,
2017-12-27,BULL,Bear Leg,OIM,HUGE OPEN,WAR,TR,,
2017-12-28,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2017-12-29,BULL,Bull Leg,OOL,DOJI,SWR,BEAR,,
2018-01-01,TR,Bear Leg,OOH,NORMAL,WAR,BULL,,
2018-01-02,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2018-01-03,BEAR,Bear Leg,OOH,DOJI,SWR,BULL,,
2018-01-04,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2018-01-05,TR,TR,OOH,NORMAL,SWR,TR,,
2018-01-08,TR,TR,OIM,NORMAL,SWR,TR,,
2018-01-09,BULL,TR,OOH,DOJI,WAR,TR,,
2018-01-10,BEAR,TR,OIM,NORMAL,SWR,TR,,
2018-01-11,BULL,TR,OIM,DOJI,SWR,BEAR,,
2018-01-12,BEAR,TR,OOH,DOJI,SWR,TR,,
2018-01-15,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2018-01-16,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2018-01-17,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2018-01-18,BEAR,TR,OAR,NORMAL,SWR,TR,,
2018-01-19,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2018-01-22,TR,TR,OIM,NORMAL,WAR,TR,,
2018-01-23,BEAR,TR,OOH,NORMAL,SWR,TR,,
2018-01-24,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2018-01-25,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2018-01-29,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2018-01-30,BEAR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2018-01-31,TR,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2018-02-01,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2018-02-02,BULL,Bear Leg,OOL,DOJI,SWR,BEAR,,
2018-02-05,BULL,Bull Leg,OBR,NORMAL,SWR,BEAR,,
2018-02-06,TR,Bull Leg,OBR,HUGE OPEN,SBR,BULL,,
2018-02-07,BULL,Bear Leg,OAR,NORMAL,SWR,BULL,,
2018-02-08,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2018-02-09,TR,Bear Leg,OBR,NORMAL,SBR,TR,,
2018-02-12,BEAR,TR,OOH,NORMAL,SWR,TR,,
2018-02-14,BEAR,Bull Leg,OIM,DOJI,SWR,TR,,
2018-02-15,BULL,Bear Leg,OOH,NORMAL,SWR,TR,,
2018-02-16,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2018-02-19,BEAR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2018-02-20,BULL,TR,OIM,NORMAL,SWR,TR,,
2018-02-21,BEAR,Bear Leg,OAR,HUGE OPEN,SWR,TR,,
2018-02-22,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2018-02-23,TR,TR,OIM,NORMAL,SWR,BEAR,,
